x,y,value
101,124,0.09587311203125466
96,65,0.14905713930641754
55,55,0.08694042976289214
83,26,0.033694019711734524
129,63,0.10150267801276594
146,95,0.047042133529208545
146,126,0.0881074204833485
105,66,0.13503104264235138
146,52,0.12765127735412438
113,97,0.14382244939393793
74,100,0.09985307742933203
59,54,0.10582392001752379
120,94,0.1422692505849488
141,65,0.09039350401906934
138,66,0.0861686553607289
89,20,0.08999329818870606
107,41,0.12732133880871402
96,60,0.1498715341103511
124,110,0.15004968075031172
111,97,0.14271790235769366
145,82,0.13903431692454118
120,114,0.15714627425146985
98,107,0.0712811799681717
75,30,0.0936179991508066
74,77,0.0761556408056376
151,70,0.12774994826710284
154,105,0.18023223430726246
128,70,0.07168576264873402
154,103,0.18082735281862505
108,98,0.1406730589723419
105,76,0.10557131623044384
109,108,0.13181924596904612
126,39,0.12770544267689163
125,133,0.0992214721233697
123,111,0.1690851065846788
141,75,0.1125899568090087
82,91,0.08518409824339024
98,100,0.07069127313944056
106,84,0.09202386185199422
110,29,0.04213625413524055
150,2,0.06577946736568419
115,58,0.10761234715893976
147,62,0.07560062838021121
116,128,0.05505014111633123
150,114,0.10906433417697688
89,92,0.057930980442028164
148,53,0.12407969511780322
83,84,0.11497413528197174
110,114,0.09349376823036815
112,97,0.14858209898235686
131,37,0.08345538228752294
104,122,0.07116358368467288
133,97,0.07781121072359683
76,65,0.041387958540057876
131,112,0.134597359764828
112,138,0.06720217792102816
96,54,0.15139354047971262
75,98,0.09855896290894542
129,27,0.057388262959806646
126,40,0.12097790154631803
65,75,0.0583615538521339
115,38,0.13484706931999135
54,51,0.08680707821164572
79,97,0.07976957610751259
147,111,0.1126575975165945
74,56,0.0678183188340504
75,104,0.09798126976435186
65,49,0.05673761343546127
153,108,0.17726499639069118
99,106,0.0685490142530908
96,57,0.1508409540874231
142,65,0.089481909467693
150,54,0.11502489469270662
111,58,0.11705115810102526
107,77,0.10066820854106458
96,59,0.1497764912226844
138,49,0.0993117490898077
146,72,0.14779261488322998
103,33,0.08993577514910553
131,55,0.08039860981233339
115,68,0.09733378699372806
77,105,0.08870805282707538
130,120,0.16756469362460216
136,67,0.094453603902720007
102,87,0.12004764889221231
97,68,0.1451431643509702
124,111,0.16333428602802286
150,71,0.1317672262229788
96,58,0.1499868537249458
87,72,0.06977446520879772
96,63,0.14954959696665793
114,62,0.06803403028451997
98,71,0.14189807567432985
99,89,0.10514387363967301
151,67,0.14041308069688116
105,64,0.13857414217174605
109,6,0.05015010797539827
126,128,0.10552048597698581
100,113,0.11154533743737813
122,112,0.17379359639784367
154,99,0.16435433745181743
132,77,0.07135006001596246
128,106,0.07867884243070408
111,70,0.14878604285793376
63,53,0.08924377104248335
140,127,0.0842638175005815
131,113,0.12449450930163244
98,33,0.09202476514499067
152,94,0.14443565194335237
151,91,0.1427864429530084
133,47,0.10711318195693031
87,82,0.05855811597813881
124,99,0.1329281734458676
60,68,0.02621391225224115
139,66,0.08736719736153735
146,53,0.12561361131239038
110,40,0.13623472583176272
105,68,0.1398460055147926
