x,y,value
111.3,20.8,0.096
104.8,97.5,0.149
51.5,110.5,0.087
87.9,148.2,0.034
147.7,100.1,0.102
169.8,58.5,0.047
169.8,18.2,0.088
116.5,96.2,0.135
169.8,114.4,0.128
126.9,55.9,0.144
76.2,52,0.1
56.7,111.8,0.106
136,59.8,0.142
163.3,97.5,0.09
159.4,96.2,0.086
95.7,156,0.09
119.1,128.7,0.127
104.8,104,0.15
141.2,39,0.15
124.3,55.9,0.143
168.5,75.4,0.139
136,33.8,0.157
107.4,42.9,0.071
77.5,143,0.094
76.2,81.9,0.076
176.3,91,0.128
180.2,45.5,0.18
146.4,91,0.072
180.2,48.1,0.181
120.4,54.6,0.141
116.5,83.2,0.106
121.7,41.6,0.132
143.8,131.3,0.128
142.5,9.1,0.099
139.9,37.7,0.169
163.3,84.5,0.113
86.6,63.7,0.085
107.4,52,0.071
117.8,72.8,0.092
123,144.3,0.042
175,179.4,0.066
129.5,106.6,0.108
171.1,101.4,0.076
130.8,15.6,0.055
175,33.8,0.109
95.7,62.4,0.058
172.4,113.1,0.124
87.9,72.8,0.115
123,33.8,0.093
125.6,55.9,0.149
150.3,133.9,0.083
115.2,23.4,0.071
152.9,55.9,0.078
78.8,97.5,0.041
150.3,36.4,0.135
125.6,2.6,0.067
104.8,111.8,0.151
77.5,54.6,0.099
147.7,146.9,0.057
143.8,130,0.121
64.5,84.5,0.058
129.5,132.6,0.135
50.2,115.7,0.087
82.7,55.9,0.08
171.1,37.7,0.113
76.2,109.2,0.068
77.5,46.8,0.098
64.5,118.3,0.057
178.9,41.6,0.177
108.7,44.2,0.069
104.8,107.9,0.151
164.6,97.5,0.089
175,111.8,0.115
124.3,106.6,0.117
119.1,81.9,0.101
104.8,105.3,0.15
159.4,118.3,0.099
169.8,88.4,0.148
113.9,139.1,0.09
150.3,110.5,0.08
129.5,93.6,0.097
80.1,45.5,0.089
149,26,0.168
156.8,94.9,0.094
112.6,68.9,0.12
106.1,93.6,0.145
141.2,37.7,0.163
175,89.7,0.132
104.8,106.6,0.15
93.1,88.4,0.07
104.8,100.1,0.15
128.2,101.4,0.068
107.4,89.7,0.142
108.7,66.3,0.105
176.3,94.9,0.14
116.5,98.8,0.139
121.7,174.2,0.05
143.8,15.6,0.106
110,35.1,0.112
138.6,36.4,0.174
180.2,53.3,0.164
151.6,81.9,0.071
146.4,44.2,0.079
124.3,91,0.149
61.9,113.1,0.089
162,16.9,0.084
150.3,35.1,0.124
107.4,139.1,0.092
177.6,59.8,0.144
176.3,63.7,0.143
152.9,120.9,0.107
93.1,75.4,0.059
141.2,53.3,0.133
58,93.6,0.026
160.7,96.2,0.087
169.8,113.1,0.126
123,130,0.136
116.5,93.6,0.14
120.4,91,0.138
112.6,70.2,0.123
115.2,83.2,0.111
89.2,153.4,0.036
138.6,23.4,0.108
98.3,162.5,0.085
176.3,89.7,0.127
159.4,122.2,0.092
146.4,46.8,0.091
164.6,36.4,0.05
177.6,61.1,0.145
175,67.6,0.138
115.2,58.5,0.149
121.7,128.7,0.13
159.4,102.7,0.092
108.7,162.5,0.028
116.5,72.8,0.1
129.5,163.8,0.076
108.7,29.9,0.126
156.8,127.4,0.092
162,97.5,0.086
78.8,45.5,0.093
63.2,128.7,0.079
85.3,144.3,0.056
91.8,158.6,0.084
178.9,54.6,0.157
168.5,76.7,0.138
142.5,6.5,0.092
87.9,88.4,0.089
176.3,111.8,0.111
171.1,72.8,0.139
138.6,88.4,0.048
52.8,117,0.095
165.9,78,0.136
108.7,55.9,0.074
100.9,154.7,0.066
55.4,127.4,0.056
150.3,101.4,0.073
126.9,131.3,0.135
54.1,110.5,0.097
104.8,62.4,0.091
150.3,123.5,0.107
156.8,93.6,0.099
138.6,92.3,0.074
129.5,145.6,0.089
111.3,37.7,0.095
104.8,94.9,0.145
151.6,105.3,0.055
111.3,167.7,0.07
110,46.8,0.069
72.3,159.9,0.062
138.6,35.1,0.168
115.2,29.9,0.088
90.5,37.7,0.093
177.6,107.9,0.098
180.2,46.8,0.181
117.8,171.6,0.056
180.2,49.4,0.18
154.2,118.3,0.101
119.1,91,0.136
104.8,42.9,0.075
125.6,40.3,0.144
155.5,92.3,0.104
164.6,79.3,0.134
177.6,104,0.094
126.9,29.9,0.098
159.4,42.9,0.044
108.7,50.7,0.073
117.8,166.4,0.063
86.6,161.2,0.071
177.6,62.4,0.141
100.9,67.6,0.073
177.6,110.5,0.104
97,163.8,0.084
141.2,44.2,0.121
169.8,16.9,0.089
91.8,39,0.091
99.6,159.9,0.077
94.4,136.5,0.075
95.7,63.7,0.054
136,14.3,0.077
150.3,50.7,0.072
104.8,110.5,0.153
168.5,16.9,0.092
141.2,45.5,0.129
77.5,48.1,0.099
128.2,58.5,0.146
71,154.7,0.084
141.2,52,0.134
171.1,18.2,0.092
117.8,57.2,0.151
116.5,57.2,0.147
108.7,119.6,0.11
167.2,106.6,0.094
149,149.5,0.051
76.2,152.1,0.08
159.4,52,0.113
123,54.6,0.144
124.3,130,0.132
130.8,36.4,0.132
147.7,91,0.078
